X,Y,OBJECTID,FEATURE_LOCATION,FEAT_CENT_EAST,FEAT_CENT_NORTH,longitude,latitude
364192.05,175739.68,485,Ledbury Road PTZ #1 (Front of Block 01),364192.05,175739.68,-2.51701696686839,51.4794709757951
359788.62,173202.390000001,486,Att to Column 15,359788.62,173202.39,-2.58013308569552,51.4563614143569
359798.87,173215.390000001,487,Old Market/ West Street,359798.87,173215.39,-2.57998704714787,51.4564790335471
358738.47,173255.83,488,Rupert Street/Lewins Mead,358738.47,173255.83,-2.59525297189519,51.4567659941191
359580.53,174094.960000001,489,"Carr House Lower Door (External), Paul's",359580.53,174094.96,-2.58323008602327,51.4643719589616
359550.49,174134.02,490,"Carr House Upper PTZ, St Paul's",359550.49,174134.02,-2.58366697796583,51.4647210082251
359550.17,174129.130000001,491,"Carr House Upper Door (External), St Paul's",359550.17,174129.13,-2.58367102341118,51.4646770174467
358210,178389,492,Greystoke Avenue/ Southmead Library (Aldi),358210,178389,-2.60346775399853,51.5028796202013
358288.95,178419.640000001,493,"Arneside Road (West), (Southmead)",358288.95,178419.64,-2.60233397289695,51.5031609504607
358311.31,178437.699999999,494,"Arneside Road (East), (Southmead)",358311.31,178437.7,-2.60201397508332,51.503324981309
358215,172996,495,Park Street (Middle) - Street Lighting Column 006,358215,172996,-2.60275600184648,51.4543911939511
358854.29,167410.560000001,496,Redwood House Front Door PTZ,358854.29,167410.56,-2.59290400167216,51.4042189390515
358901.97,167448.550000001,497,Redwood House Rear Door (External Static),358901.97,167448.55,-2.59222297569847,51.4045639909646
358854.29,167410.560000001,498,Redwood House Front Door (External Static),358854.29,167410.56,-2.59290400167216,51.4042189390515
358873.54,167425.09,499,Redwood House Rear Lobby,358873.54,167425.09,-2.5926289563399,51.404350985043
358873.54,167425.09,500,Redwood House Lift 02,358873.54,167425.09,-2.5926289563399,51.404350985043
358873.54,167425.09,501,Redwood House Lift 01,358873.54,167425.09,-2.5926289563399,51.404350985043
358873.54,167425.09,502,Redwood House Lift Lobby,358873.54,167425.09,-2.5926289563399,51.404350985043
358873.54,167425.09,503,Redwood House Front Lobby,358873.54,167425.09,-2.5926289563399,51.404350985043
358870.04,167422.34,504,Redwood House Front Door Panel,358870.04,167422.34,-2.59267895214322,51.404326004033
358901.97,167448.550000001,505,Chestnut House Front Door (External Static),358901.97,167448.55,-2.59222297569847,51.4045639909646
358915.78,167565.550000001,506,Rowan House Front Door Panel,358915.78,167565.55,-2.59203801241915,51.4056169782356
358874.11,167427.199999999,507,Redwood House Laundry,358874.11,167427.2,-2.59262100707685,51.404369998204
358875.42,167425.960000001,508,Hartcliffe Redwood House Ground Floor Stairwell,358875.42,167425.96,-2.59260203096318,51.4043589444011
358387,172938,509,Frogmore Street outside The Hatchet,358387,172938,-2.60027383930335,51.453882420098
356857.66,174137.359999999,510,On Col 41,356857.66,174137.36,-2.62243015550806,51.4645513143596
356653.45,173990.6,511,On Col 34,356653.45,173990.6,-2.6253516193889,51.4632160899889
358494.67,172833.640000001,512,Denmark Street,358494.67,172833.64,-2.59871207696543,51.4529520201751
358387.96,172937.5,513,Denmark Avenue (Hatchet),358387.96,172937.5,-2.60025996490703,51.4538779952973
359653.55,174130.189999999,514,"Grosvenor Road/Winkworth Place PTZ, St Paul's",359653.55,174130.19,-2.58218302551909,51.4646939537307
359509,173984,515,"Grosvenor Rd, St Pauls.",359509,173984,-2.58424698805029,51.4633691440833
